2021-09-26:14:29:11  program started.
2021-09-26:19:19:54  reached the 25800000000 line.
2021-09-26:19:21:02  reached the 25900000000 line.
2021-09-26:19:22:10  reached the 26000000000 line.
2021-09-26:19:23:19  reached the 26100000000 line.
2021-09-26:19:24:28  reached the 26200000000 line.
2021-09-26:19:25:36  reached the 26300000000 line.
2021-09-26:19:26:46  reached the 26400000000 line.
2021-09-26:19:27:54  reached the 26500000000 line.
2021-09-26:19:29:03  reached the 26600000000 line.
2021-09-26:19:30:13  reached the 26700000000 line.
2021-09-26:19:31:21  reached the 26800000000 line.
2021-09-26:19:32:29  reached the 26900000000 line.
2021-09-26:19:33:38  reached the 27000000000 line.
2021-09-26:19:34:47  reached the 27100000000 line.
2021-09-26:19:35:55  reached the 27200000000 line.
2021-09-26:19:37:03  reached the 27300000000 line.
2021-09-26:19:38:10  reached the 27400000000 line.
2021-09-26:19:39:19  reached the 27500000000 line.
2021-09-26:19:40:27  reached the 27600000000 line.
2021-09-26:19:41:35  reached the 27700000000 line.
2021-09-26:19:42:43  reached the 27800000000 line.
2021-09-26:19:43:53  reached the 27900000000 line.
2021-09-26:19:45:01  reached the 28000000000 line.
2021-09-26:19:46:10  reached the 28100000000 line.
2021-09-26:19:47:20  reached the 28200000000 line.
2021-09-26:19:48:32  reached the 28300000000 line.
2021-09-26:19:49:39  reached the 28400000000 line.
2021-09-26:19:50:47  reached the 28500000000 line.
2021-09-26:19:51:54  reached the 28600000000 line.
2021-09-26:19:53:02  reached the 28700000000 line.
2021-09-26:19:54:09  reached the 28800000000 line.
2021-09-26:19:55:18  reached the 28900000000 line.
2021-09-26:19:56:25  reached the 29000000000 line.
2021-09-26:19:57:33  reached the 29100000000 line.
2021-09-26:19:58:44  reached the 29200000000 line.
2021-09-26:19:59:52  reached the 29300000000 line.
2021-09-26:20:01:00  reached the 29400000000 line.
2021-09-26:20:02:08  reached the 29500000000 line.
2021-09-26:20:03:16  reached the 29600000000 line.
2021-09-26:20:04:24  reached the 29700000000 line.
2021-09-26:20:05:37  reached the 29800000000 line.
2021-09-26:20:06:48  reached the 29900000000 line.
2021-09-26:20:08:01  reached the 30000000000 line.
2021-09-26:20:09:10  reached the 30100000000 line.
2021-09-26:20:10:19  reached the 30200000000 line.
2021-09-26:20:11:28  reached the 30300000000 line.
2021-09-26:20:12:38  reached the 30400000000 line.
2021-09-26:20:13:46  reached the 30500000000 line.
2021-09-26:20:14:54  reached the 30600000000 line.
2021-09-26:20:16:05  reached the 30700000000 line.
2021-09-26:20:17:15  reached the 30800000000 line.
2021-09-26:20:18:23  reached the 30900000000 line.
2021-09-26:20:19:32  reached the 31000000000 line.
2021-09-26:20:20:41  reached the 31100000000 line.
2021-09-26:20:21:49  reached the 31200000000 line.
2021-09-26:20:22:57  reached the 31300000000 line.
2021-09-26:20:24:07  reached the 31400000000 line.
2021-09-26:20:25:18  reached the 31500000000 line.
2021-09-26:20:26:26  reached the 31600000000 line.
2021-09-26:20:27:36  reached the 31700000000 line.
2021-09-26:20:28:45  reached the 31800000000 line.
2021-09-26:20:29:53  reached the 31900000000 line.
2021-09-26:20:31:02  reached the 32000000000 line.
2021-09-26:20:32:10  reached the 32100000000 line.
2021-09-26:20:33:19  reached the 32200000000 line.
2021-09-26:20:34:30  reached the 32300000000 line.
2021-09-26:20:35:37  reached the 32400000000 line.
2021-09-26:20:36:47  reached the 32500000000 line.
2021-09-26:20:37:57  reached the 32600000000 line.
2021-09-26:20:39:06  reached the 32700000000 line.
2021-09-26:20:40:15  reached the 32800000000 line.
2021-09-26:20:41:23  reached the 32900000000 line.
2021-09-26:20:42:31  reached the 33000000000 line.
2021-09-26:20:43:40  reached the 33100000000 line.
2021-09-26:20:44:48  reached the 33200000000 line.
2021-09-26:20:45:57  reached the 33300000000 line.
2021-09-26:20:47:08  reached the 33400000000 line.
2021-09-26:20:48:21  reached the 33500000000 line.
2021-09-26:20:49:33  reached the 33600000000 line.
2021-09-26:20:50:44  reached the 33700000000 line.
2021-09-26:20:51:58  reached the 33800000000 line.
2021-09-26:20:53:12  reached the 33900000000 line.
2021-09-26:20:54:24  reached the 34000000000 line.
2021-09-26:20:55:35  reached the 34100000000 line.
2021-09-26:20:56:46  reached the 34200000000 line.
2021-09-26:20:57:59  reached the 34300000000 line.
2021-09-26:20:59:12  reached the 34400000000 line.
2021-09-26:21:00:22  reached the 34500000000 line.
2021-09-26:21:01:31  reached the 34600000000 line.
2021-09-26:21:02:39  reached the 34700000000 line.
2021-09-26:21:03:50  reached the 34800000000 line.
2021-09-26:21:05:01  reached the 34900000000 line.
2021-09-26:21:06:09  reached the 35000000000 line.
2021-09-26:21:07:21  reached the 35100000000 line.
2021-09-26:21:08:33  reached the 35200000000 line.
2021-09-26:21:09:45  reached the 35300000000 line.
2021-09-26:21:10:55  reached the 35400000000 line.
2021-09-26:21:12:06  reached the 35500000000 line.
2021-09-26:21:13:15  reached the 35600000000 line.
2021-09-26:21:14:25  reached the 35700000000 line.
2021-09-26:21:15:36  reached the 35800000000 line.
2021-09-26:21:16:47  reached the 35900000000 line.
2021-09-26:21:17:56  reached the 36000000000 line.
2021-09-26:21:19:04  reached the 36100000000 line.
2021-09-26:21:20:13  reached the 36200000000 line.
2021-09-26:21:21:24  reached the 36300000000 line.
2021-09-26:21:22:32  reached the 36400000000 line.
2021-09-26:21:23:40  reached the 36500000000 line.
2021-09-26:21:24:50  reached the 36600000000 line.
2021-09-26:21:26:00  reached the 36700000000 line.
2021-09-26:21:27:09  reached the 36800000000 line.
2021-09-26:21:28:18  reached the 36900000000 line.
2021-09-26:21:29:28  reached the 37000000000 line.
2021-09-26:21:30:39  reached the 37100000000 line.
2021-09-26:21:31:51  reached the 37200000000 line.
2021-09-26:21:33:05  reached the 37300000000 line.
